Date,Open,High,Low,Close,Adj Close,Volume
2018-02-09,null,null,null,null,null,null
2018-02-12,319.950012,319.950012,312.600006,315.549988,293.773743,9097394
2018-02-14,320.250000,323.399994,311.899994,315.750000,293.959961,7154264
2018-02-15,320.100006,328.350006,320.049988,324.399994,302.013000,11559723
2018-02-16,329.899994,329.899994,316.000000,319.750000,297.683899,9116738
2018-02-19,321.100006,324.500000,314.100006,320.350006,298.242523,8642478
2018-02-20,321.000000,331.000000,320.000000,328.700012,306.016266,11395413
2018-02-21,330.000000,331.000000,320.899994,327.600006,304.992188,12281795
2018-02-22,325.299988,330.549988,322.000000,328.649994,305.969727,17254470
2018-02-23,330.049988,340.750000,327.149994,337.899994,314.581360,11270987
2018-02-26,339.399994,345.000000,339.000000,343.149994,319.469055,8842289
2018-02-27,343.500000,344.850006,338.000000,340.600006,317.095062,4697935
2018-02-28,338.700012,338.700012,327.000000,329.750000,306.993805,10566570
2018-03-01,327.200012,333.649994,321.700012,323.250000,300.942383,8160931
2018-03-05,319.000000,321.250000,310.549988,315.899994,294.099609,9269131
2018-03-06,318.299988,327.450012,311.100006,313.450012,291.818695,11634001
2018-03-07,312.600006,313.399994,303.200012,309.350006,288.001617,12198965
2018-03-08,313.899994,317.000000,301.850006,308.399994,287.117188,9818423
2018-03-09,311.799988,316.399994,302.549988,304.149994,283.160461,13854157
2018-03-12,308.299988,318.750000,305.600006,317.399994,295.496094,11167602
2018-03-13,315.000000,324.000000,312.000000,321.049988,298.894196,17819886
2018-03-14,319.549988,323.100006,315.700012,318.950012,296.939117,10148672
2018-03-15,319.700012,320.799988,315.000000,316.950012,295.077148,9166951
2018-03-16,317.000000,317.000000,306.799988,308.899994,287.582672,13398137
2018-03-19,311.450012,313.600006,304.000000,307.200012,286.000000,10063284
2018-03-20,284.799988,293.100006,283.750000,287.100006,287.100006,14598256
2018-03-21,290.000000,293.500000,282.500000,285.750000,285.750000,11337441
2018-03-22,288.799988,294.200012,285.899994,291.799988,291.799988,12008468
2018-03-23,284.250000,285.500000,274.299988,276.000000,276.000000,13290580
2018-03-26,276.399994,286.000000,268.750000,283.299988,283.299988,14875633
2018-03-27,288.000000,289.899994,283.700012,287.000000,287.000000,10333840
2018-03-28,283.950012,285.950012,276.649994,277.850006,277.850006,14701677
2018-04-02,284.000000,284.899994,277.450012,282.299988,282.299988,6555940
2018-04-03,279.000000,284.700012,278.549988,283.200012,283.200012,9718071
2018-04-04,284.450012,289.799988,271.500000,274.299988,274.299988,12818170
2018-04-05,280.600006,291.750000,280.200012,289.899994,289.899994,15456965
2018-04-06,286.000000,287.600006,281.500000,285.049988,285.049988,9519156
2018-04-09,283.700012,289.399994,280.000000,281.350006,281.350006,11022862
2018-04-10,291.000000,292.000000,283.200012,284.100006,284.100006,12178281
2018-04-11,290.100006,297.700012,287.350006,296.799988,296.799988,22771881
2018-04-12,296.000000,296.450012,287.000000,288.700012,288.700012,10682208
2018-04-13,291.149994,294.700012,288.500000,291.649994,291.649994,11510464
2018-04-16,288.049988,291.950012,286.649994,290.299988,290.299988,7545130
2018-04-17,293.399994,295.250000,287.399994,288.799988,288.799988,9828946
2018-04-18,293.000000,294.000000,289.399994,291.100006,291.100006,14009181
2018-04-19,296.750000,313.500000,296.750000,311.700012,311.700012,31082632
2018-04-20,305.450012,309.750000,303.000000,308.600006,308.600006,13535858
2018-04-23,307.700012,311.450012,304.000000,305.049988,305.049988,7058597
2018-04-24,293.000000,299.799988,288.000000,297.399994,297.399994,14885085
2018-04-25,296.600006,297.549988,288.200012,290.200012,290.200012,8297914
2018-04-26,291.500000,293.750000,287.600006,290.299988,290.299988,11827702
2018-04-27,293.000000,296.500000,290.049988,294.049988,294.049988,6853011
2018-04-30,295.399994,302.250000,293.100006,298.399994,298.399994,6843221
2018-05-02,296.649994,296.649994,282.299988,283.399994,283.399994,12277622
2018-05-03,283.950012,288.750000,277.350006,286.200012,286.200012,13002792
2018-05-04,289.450012,290.700012,279.000000,281.649994,281.649994,16087098
2018-05-07,283.000000,289.399994,282.000000,285.450012,285.450012,8242354
2018-05-08,286.399994,287.450012,281.600006,282.899994,282.899994,7858792
2018-05-09,283.000000,290.399994,282.100006,283.149994,283.149994,10284823
2018-05-10,284.750000,285.500000,278.500000,279.700012,279.700012,8814612
2018-05-11,282.899994,287.299988,278.600006,286.950012,286.950012,9774064
2018-05-14,288.000000,288.350006,280.549988,282.100006,282.100006,7062942
2018-05-15,282.950012,285.500000,278.100006,281.700012,281.700012,15412120
2018-05-16,281.649994,284.000000,276.500000,278.799988,278.799988,10781519
2018-05-17,283.200012,283.950012,275.299988,276.950012,276.950012,9379615
2018-05-18,278.200012,278.500000,269.350006,270.299988,270.299988,8928454
2018-05-21,270.299988,273.250000,261.049988,263.850006,263.850006,9703835
2018-05-22,264.899994,270.899994,261.500000,269.950012,269.950012,8021927
2018-05-23,263.399994,263.500000,250.199997,252.649994,252.649994,18226457
2018-05-24,252.199997,253.250000,240.149994,250.600006,250.600006,20219901
2018-05-25,247.300003,256.750000,241.199997,251.800003,251.800003,27429408
2018-05-28,253.350006,255.250000,245.600006,253.649994,253.649994,9732030
2018-05-29,240.000000,255.000000,237.899994,253.250000,253.250000,32936741
2018-05-30,245.000000,252.850006,244.399994,251.100006,251.100006,16362468
2018-05-31,250.500000,252.850006,246.250000,248.300003,248.300003,29327091
2018-06-01,248.000000,258.399994,246.500000,248.250000,248.250000,18640874
2018-06-04,248.750000,249.449997,244.500000,246.750000,246.750000,11484275
2018-06-05,246.250000,247.500000,242.500000,246.250000,246.250000,8543831
2018-06-06,246.350006,248.600006,242.199997,246.449997,246.449997,19831399
2018-06-07,248.550003,256.500000,245.899994,247.199997,247.199997,29651967
2018-06-08,247.199997,247.899994,242.550003,246.300003,246.300003,10413596
2018-06-11,246.300003,248.000000,245.050003,246.100006,246.100006,17253950
2018-06-12,246.500000,247.250000,243.350006,245.500000,245.500000,9625030
2018-06-13,245.699997,245.699997,241.500000,243.100006,243.100006,11470921
2018-06-14,241.000000,243.500000,239.100006,240.050003,240.050003,8930060
2018-06-15,241.000000,241.000000,234.000000,238.600006,238.600006,24482557
2018-06-18,236.000000,236.000000,228.649994,232.199997,232.199997,15575678
2018-06-19,228.949997,229.850006,221.600006,224.300003,224.300003,22092589
2018-06-20,226.000000,230.149994,225.250000,228.699997,228.699997,17011598
2018-06-21,227.500000,230.800003,226.000000,229.050003,229.050003,16864366
2018-06-22,228.050003,229.850006,226.550003,228.550003,228.550003,15062203
2018-06-25,229.000000,239.500000,229.000000,230.649994,230.649994,40657710
2018-06-26,228.800003,233.399994,225.550003,231.449997,231.449997,13407360
2018-06-27,233.000000,233.250000,228.149994,230.100006,230.100006,12766494
2018-06-28,231.000000,233.600006,229.500000,230.000000,230.000000,12656271
2018-06-29,228.000000,237.850006,228.000000,236.199997,236.199997,11526273
2018-07-02,234.750000,243.800003,228.300003,239.850006,239.850006,17820231
2018-07-03,236.199997,236.199997,230.050003,231.050003,231.050003,15851682
2018-07-04,229.449997,229.449997,225.199997,228.050003,228.050003,11756061
2018-07-05,227.000000,227.000000,219.000000,221.300003,221.300003,12643742
2018-07-06,219.000000,224.699997,216.550003,219.100006,219.100006,14107005
2018-07-09,222.250000,227.550003,221.100006,226.600006,226.600006,10712428
2018-07-10,227.050003,228.000000,224.850006,226.050003,226.050003,8513918
2018-07-11,222.899994,222.899994,216.250000,218.100006,218.100006,16370691
2018-07-12,218.500000,221.000000,211.000000,211.399994,211.399994,16378996
2018-07-13,213.000000,213.449997,209.100006,210.449997,210.449997,10718429
2018-07-16,211.500000,212.000000,204.800003,206.399994,206.399994,9413761
2018-07-17,206.000000,212.350006,203.199997,210.100006,210.100006,7590806
2018-07-18,210.000000,210.649994,202.000000,203.699997,203.699997,7846762
2018-07-19,205.350006,211.250000,201.550003,208.199997,208.199997,12107204
2018-07-20,206.050003,206.550003,200.649994,202.399994,202.399994,9115587
2018-07-23,204.000000,213.399994,200.699997,211.600006,211.600006,8931165
2018-07-24,209.000000,220.000000,208.000000,216.250000,216.250000,15754032
2018-07-25,217.149994,221.750000,216.750000,218.949997,218.949997,11261855
2018-07-26,220.699997,221.649994,215.500000,216.500000,216.500000,7164072
2018-07-27,218.000000,221.000000,216.550003,219.750000,219.750000,6695579
2018-07-30,221.899994,226.000000,220.600006,224.899994,224.899994,8293254
2018-07-31,225.000000,225.050003,218.750000,222.199997,222.199997,7121436
2018-08-01,219.800003,229.000000,216.199997,218.199997,218.199997,14690496
2018-08-02,217.000000,217.899994,211.449997,214.149994,214.149994,14319624
2018-08-03,215.050003,223.699997,214.850006,222.399994,222.399994,18274236
2018-08-06,224.500000,225.449997,221.699997,224.350006,224.350006,6347884
2018-08-07,225.000000,230.750000,223.500000,226.800003,226.800003,16046724
2018-08-08,228.449997,229.300003,223.600006,224.800003,224.800003,9371088
2018-08-09,225.949997,232.500000,222.000000,230.600006,230.600006,12895636
2018-08-10,232.899994,233.699997,222.199997,223.699997,223.699997,11685692
2018-08-13,218.399994,218.399994,213.500000,216.300003,216.300003,12726787
2018-08-14,216.000000,217.649994,213.050003,215.100006,215.100006,10074719
2018-08-16,208.000000,210.899994,205.350006,208.800003,208.800003,14309862
2018-08-17,212.199997,216.699997,211.000000,215.199997,215.199997,13308267
2018-08-20,216.899994,222.800003,215.600006,221.850006,221.850006,10506489
2018-08-21,223.050003,223.449997,218.100006,218.850006,218.850006,7890862
2018-08-23,218.500000,218.500000,212.050003,214.800003,214.800003,9896492
2018-08-24,214.000000,225.000000,212.250000,224.050003,224.050003,12032977
2018-08-27,225.949997,227.500000,222.500000,225.500000,225.500000,9338893
2018-08-28,227.050003,231.899994,225.550003,230.300003,230.300003,15432343
2018-08-29,233.399994,238.250000,227.350006,228.050003,228.050003,31404401
2018-08-30,229.850006,231.050003,226.149994,230.000000,230.000000,24136924
2018-08-31,229.000000,230.600006,224.000000,227.699997,227.699997,15184001
2018-09-03,228.899994,230.250000,226.750000,228.449997,228.449997,7897757
2018-09-04,228.649994,229.600006,221.649994,224.800003,224.800003,11341666
2018-09-05,224.000000,230.000000,220.699997,229.449997,229.449997,10415515
2018-09-06,230.949997,230.949997,225.699997,229.899994,229.899994,13519245
2018-09-07,229.350006,233.699997,226.699997,230.250000,230.250000,24336043
2018-09-10,233.000000,233.800003,222.199997,223.500000,223.500000,18259846
2018-09-11,225.000000,227.399994,218.000000,219.649994,219.649994,14276023
2018-09-12,220.750000,225.800003,219.000000,223.600006,223.600006,8849353
2018-09-14,228.800003,236.449997,226.050003,235.600006,235.600006,17674079
2018-09-17,235.449997,237.750000,232.149994,234.899994,234.899994,13008924
2018-09-18,235.000000,235.000000,228.000000,230.149994,230.149994,13228698
2018-09-19,230.750000,232.350006,227.000000,230.100006,230.100006,18255648
2018-09-21,230.949997,235.300003,221.100006,230.449997,230.449997,42361028
2018-09-24,232.500000,237.550003,228.250000,229.899994,229.899994,20942520
2018-09-25,230.199997,232.899994,226.699997,230.399994,230.399994,16770608
2018-09-26,231.100006,245.000000,229.699997,241.550003,241.550003,40596440
2018-09-27,241.850006,246.800003,238.600006,240.649994,240.649994,25137487
2018-09-28,241.250000,242.800003,227.100006,232.300003,232.300003,20835004
2018-10-01,230.000000,234.100006,225.449997,232.649994,232.649994,15971844
2018-10-03,232.699997,246.899994,232.149994,240.100006,240.100006,36242984
2018-10-04,239.649994,244.300003,234.100006,239.399994,239.399994,27385995
2018-10-05,237.000000,241.500000,226.100006,231.649994,231.649994,17175345
2018-10-08,227.000000,228.250000,198.250000,206.750000,206.750000,37293316
2018-10-09,208.000000,216.500000,204.050003,212.100006,212.100006,17869475
2018-10-10,213.300003,220.649994,213.250000,218.149994,218.149994,12774692
2018-10-11,208.149994,217.750000,200.000000,207.899994,207.899994,16424058
2018-10-12,210.500000,216.600006,210.399994,214.300003,214.300003,11697753
2018-10-15,216.899994,216.899994,208.649994,210.600006,210.600006,14022679
2018-10-16,212.000000,214.800003,211.500000,212.449997,212.449997,5405111
2018-10-17,215.399994,216.449997,206.649994,207.949997,207.949997,8586330
2018-10-19,206.449997,214.199997,199.750000,211.100006,211.100006,19958162
2018-10-22,213.050003,219.250000,207.850006,213.550003,213.550003,13766095
2018-10-23,211.800003,216.250000,207.600006,210.350006,210.350006,12100077
2018-10-24,212.199997,214.000000,208.300003,211.899994,211.899994,8365420
2018-10-25,208.600006,209.600006,201.600006,204.600006,204.600006,21349045
2018-10-26,204.850006,207.449997,199.000000,203.649994,203.649994,12026230
2018-10-29,207.050003,212.500000,203.850006,211.399994,211.399994,10870728
2018-10-30,212.600006,216.399994,210.000000,211.199997,211.199997,10500891
2018-10-31,211.449997,213.850006,207.000000,211.149994,211.149994,10731974
2018-11-01,213.000000,215.399994,208.000000,212.800003,212.800003,17281051
2018-11-02,217.000000,227.350006,214.550003,225.899994,225.899994,19722750
2018-11-05,225.449997,227.750000,220.800003,222.449997,222.449997,13542401
2018-11-06,207.699997,213.649994,205.300003,207.399994,207.399994,19834081
2018-11-07,null,null,null,null,null,null
2018-11-09,210.949997,212.000000,208.300003,209.050003,209.050003,6868901
2018-11-12,209.750000,210.899994,202.250000,203.149994,203.149994,11801858
2018-11-13,202.000000,206.000000,201.000000,205.600006,205.600006,9244839
2018-11-14,206.500000,207.899994,203.550003,204.100006,204.100006,7525220
2018-11-15,205.300003,209.649994,202.750000,207.550003,207.550003,10248843
2018-11-16,208.000000,209.000000,205.550003,206.800003,206.800003,7998497
2018-11-19,207.800003,212.800003,207.399994,211.350006,211.350006,10878040
2018-11-20,210.250000,210.899994,200.000000,205.250000,205.250000,18615840
2018-11-21,204.000000,204.399994,201.000000,201.899994,201.899994,14273100
2018-11-22,203.899994,204.600006,199.000000,199.600006,199.600006,12387967
2018-11-26,200.000000,200.050003,191.000000,195.800003,195.800003,20552801
2018-11-27,193.850006,199.699997,190.199997,195.000000,195.000000,21061915
2018-11-28,196.199997,197.350006,192.149994,192.949997,192.949997,13300756
2018-11-29,196.500000,201.899994,196.250000,198.800003,198.800003,16248210
2018-11-30,200.800003,201.000000,194.850006,195.850006,195.850006,14713297
2018-12-03,201.500000,205.350006,201.000000,202.949997,202.949997,16235433
2018-12-04,202.399994,206.899994,200.600006,206.199997,206.199997,10559839
2018-12-05,202.350006,204.449997,197.449997,198.399994,198.399994,12327914
2018-12-06,196.899994,196.899994,191.000000,195.350006,195.350006,15693557
2018-12-07,197.949997,198.300003,193.000000,195.699997,195.699997,9185719
2018-12-10,191.399994,195.649994,190.199997,192.550003,192.550003,6766286
2018-12-11,191.899994,195.000000,190.050003,193.550003,193.550003,12458158
2018-12-12,194.550003,200.750000,193.550003,199.300003,199.300003,11215747
2018-12-13,201.000000,202.800003,198.300003,200.649994,200.649994,10141845
2018-12-14,199.000000,203.199997,198.149994,201.600006,201.600006,7637495
2018-12-17,212.800003,213.300003,204.600006,205.500000,205.500000,27613999
2018-12-18,204.899994,210.000000,204.250000,208.550003,208.550003,12509870
2018-12-19,209.800003,209.949997,205.649994,206.850006,206.850006,11334523
2018-12-20,205.000000,205.000000,201.500000,202.750000,202.750000,13958524
2018-12-21,204.500000,204.550003,199.149994,200.050003,200.050003,14374440
2018-12-24,198.000000,199.500000,196.000000,196.399994,196.399994,9951166
2018-12-26,195.949997,197.649994,193.050003,196.399994,196.399994,9449698
2018-12-27,199.649994,202.250000,195.199997,195.850006,195.850006,12890647
2018-12-28,197.649994,200.649994,197.000000,199.399994,199.399994,8693150
2018-12-31,201.399994,203.600006,200.600006,202.199997,202.199997,9580784
2019-01-01,202.500000,202.850006,200.350006,202.100006,202.100006,3947501
2019-01-02,200.000000,200.000000,192.500000,193.149994,193.149994,18935386
2019-01-03,193.699997,195.000000,187.550003,187.949997,187.949997,13968283
2019-01-04,188.000000,194.449997,186.649994,192.899994,192.899994,12883382
2019-01-07,196.100006,198.649994,192.500000,193.449997,193.449997,11020289
2019-01-08,194.500000,197.000000,191.899994,195.649994,195.649994,14295380
2019-01-09,197.949997,198.000000,192.000000,194.750000,194.750000,11205333
2019-01-10,195.000000,196.199997,193.449997,195.449997,195.449997,8256271
2019-01-11,195.500000,198.300003,195.000000,196.600006,196.600006,8245755
2019-01-14,196.000000,196.000000,192.000000,193.050003,193.050003,9059869
2019-01-15,193.850006,199.800003,193.350006,198.899994,198.899994,9416350
2019-01-16,201.000000,202.250000,195.699997,196.300003,196.300003,12554389
2019-01-17,197.250000,198.250000,195.399994,197.449997,197.449997,6591718
2019-01-18,199.000000,200.000000,196.250000,198.699997,198.699997,8307081
2019-01-21,200.100006,200.500000,197.649994,198.449997,198.449997,6348706
2019-01-22,197.500000,197.500000,191.000000,191.500000,191.500000,9901151
2019-01-23,191.500000,195.000000,190.600006,192.800003,192.800003,7523951
2019-01-24,192.899994,195.449997,191.300003,193.500000,193.500000,6195845
2019-01-25,195.100006,196.399994,192.550003,194.699997,194.699997,6437316
2019-01-28,195.000000,195.000000,191.000000,191.500000,191.500000,6045200
2019-01-29,191.500000,193.850006,189.399994,192.649994,192.649994,6230069
2019-01-30,192.899994,196.449997,192.149994,194.100006,194.100006,10015876
2019-01-31,195.500000,198.250000,193.800003,197.350006,197.350006,13404228
2019-02-01,179.649994,180.000000,158.149994,162.149994,162.149994,98562137
2019-02-04,162.800003,165.000000,156.500000,161.350006,161.350006,24578563
2019-02-05,159.300003,164.500000,157.250000,162.600006,162.600006,14352577
2019-02-06,163.350006,165.000000,157.750000,163.750000,163.750000,13140943
2019-02-07,162.949997,165.649994,161.800003,163.449997,163.449997,9437018
2019-02-08,162.300003,162.399994,149.699997,154.149994,154.149994,21667191
